iter	RMSE
0	14.81187677
1	14.42555727
2	14.06817861
3	13.72601314
4	13.37266148
5	13.05775076
6	12.77327823
7	12.46120265
8	12.19967481
9	11.89911564
10	11.60372835
11	11.36862641
12	11.15443322
13	10.94476672
14	10.70419099
15	10.47157818
16	10.25640413
17	10.05094896
18	9.852281775
19	9.653774855
20	9.501485114
21	9.321604979
22	9.137156358
23	8.973164893
24	8.832393626
25	8.691335295
26	8.551538746
27	8.412619329
28	8.273323828
29	8.146216263
30	8.025759104
31	7.914797332
32	7.822029751
33	7.710016847
34	7.602856605
35	7.504978034
36	7.407123395
37	7.330586933
38	7.239309831
39	7.15456849
40	7.077710121
41	7.010781572
42	6.931484818
43	6.869087401
44	6.80042605
45	6.742542215
46	6.673260026
47	6.615368866
48	6.553323094
49	6.495770633
50	6.44987694
51	6.401519521
52	6.349427946
53	6.303639269
54	6.25716495
55	6.213822599
56	6.174325681
57	6.139347441
58	6.101029721
59	6.067216836
60	6.0299242
61	5.996527138
62	5.96430137
63	5.929765249
64	5.899122572
65	5.872123844
66	5.843614466
67	5.816947636
68	5.800727042
69	5.776468068
70	5.7492616
71	5.72452714
72	5.703930027
73	5.682515856
74	5.661949722
75	5.640022714
76	5.621566138
77	5.603702791
78	5.58546367
79	5.564965512
80	5.549236154
81	5.536120535
82	5.520204601
83	5.499610861
84	5.479652311
85	5.460237658
86	5.445035106
87	5.43317717
88	5.42112736
89	5.409684974
90	5.39921064
91	5.387823857
92	5.379957651
93	5.370864306
94	5.361475726
95	5.351778054
96	5.34132973
97	5.330229698
98	5.320899585
99	5.311319842
100	5.302114276
101	5.292270591
102	5.282089168
103	5.275809129
104	5.266958227
105	5.257976744
106	5.248035297
107	5.242979275
108	5.236558394
109	5.229693731
110	5.22806376
111	5.22115977
112	5.215102998
113	5.207924143
114	5.202432778
115	5.195690271
116	5.189053499
117	5.185074178
118	5.181879961
119	5.174019434
120	5.165632675
121	5.161030537
122	5.154351629
123	5.151504583
124	5.14435685
125	5.136614967
126	5.128820577
127	5.122040361
128	5.116062397
129	5.111385171
130	5.10774503
131	5.100726601
132	5.094759033
133	5.084806232
134	5.074210657
135	5.070223645
136	5.065875884
137	5.062240377
138	5.0585536
139	5.051176038
140	5.045045531
141	5.0393909
142	5.032813942
143	5.02902199
144	5.024543771
145	5.020428251
146	5.017891171
147	5.01415882
148	5.007461475
149	5.003516268
150	4.999753632
151	4.9965988
152	4.989081409
153	4.983370019
154	4.980928261
155	4.977360588
156	4.974588182
157	4.970844297
158	4.96272654
159	4.958853834
160	4.958002296
161	4.955220921
162	4.951675631
163	4.948553295
164	4.947623712
165	4.947317717
166	4.943537108
167	4.937657052
168	4.93319074
169	4.930704901
170	4.926625583
171	4.920222045
172	4.912927951
173	4.907666291
174	4.903006818
175	4.899129261
176	4.896425597
177	4.891770041
178	4.887737156
179	4.883246873
180	4.87975169
181	4.876092503
182	4.870606644
183	4.867559946
184	4.865480775
185	4.861467503
186	4.857895348
187	4.851554237
188	4.845698905
189	4.84101964
190	4.838291839
191	4.835654447
192	4.829637438
193	4.827327632
194	4.823136863
195	4.821656816
196	4.818704409
197	4.812511577
198	4.807849408
199	4.80316738
200	4.796985485
201	4.789889199
202	4.786562674
203	4.783378875
204	4.776769441
205	4.772849366
206	4.769587667
207	4.768445072
208	4.763689148
209	4.760687448
210	4.759443398
211	4.754218825
212	4.74827523
213	4.748150158
214	4.746667794
215	4.744567665
216	4.738486494
217	4.736811893
218	4.734391264
219	4.729773705
220	4.723734794
221	4.717262053
222	4.711270219
223	4.707011894
224	4.704135242
225	4.700384906
226	4.695880276
227	4.688295562
228	4.683475833
229	4.678973825
230	4.676282447
231	4.671193938
232	4.669294485
233	4.66746135
234	4.665141601
235	4.660400289
236	4.657893131
237	4.653671826
238	4.649774185
239	4.647780888
240	4.644684249
241	4.639592014
242	4.634603882
243	4.628803521
244	4.626519313
245	4.623650933
246	4.620813242
247	4.616549716
248	4.611118618
249	4.605508331
250	4.600332727
251	4.598588228
252	4.595138173
253	4.594797132
254	4.591603857
255	4.586605708
256	4.581639967
257	4.577413582
258	4.571353623
259	4.566576691
260	4.561032097
261	4.558102162
262	4.553353577
263	4.546519004
264	4.538993155
265	4.535134422
266	4.533408391
267	4.531330071
268	4.529027846
269	4.523172087
270	4.520635102
271	4.519350944
272	4.515202225
273	4.509762496
274	4.507147067
275	4.503919197
276	4.502092019
277	4.495921832
278	4.49173105
279	4.487219575
280	4.482432905
281	4.481018025
282	4.475381098
283	4.474006907
284	4.468761087
285	4.464816839
286	4.462086328
287	4.457235883
288	4.454231237
289	4.449797111
290	4.446382575
291	4.44344693
292	4.441611072
293	4.439522416
294	4.43827183
295	4.434800734
296	4.433088787
297	4.427468348
298	4.422984275
299	4.418164819
300	4.416487662
301	4.412369692
302	4.410292209
303	4.405399361
304	4.398995676
305	4.397577171
306	4.395519116
307	4.393981047
308	4.391017864
309	4.387279254
310	4.38271854
311	4.377385995
312	4.376173696
313	4.373684936
314	4.371756335
315	4.370129909
316	4.365920108
317	4.360463569
318	4.355874372
319	4.350383215
320	4.343883493
321	4.342588065
322	4.339177283
323	4.333620075
324	4.329544357
325	4.327303051
326	4.325521413
327	4.32342281
328	4.320864529
329	4.317818355
330	4.317383424
331	4.312959604
332	4.309460021
333	4.305443208
334	4.304410337
335	4.299255591
336	4.297978591
337	4.292694507
338	4.290148241
339	4.289063801
340	4.286440617
341	4.283125419
342	4.279385037
343	4.278284207
344	4.275095425
345	4.270331795
346	4.267530933
347	4.26622039
348	4.262131738
349	4.258613092
350	4.255645279
351	4.253076354
352	4.252531727
353	4.247052899
354	4.244874829
355	4.243825688
356	4.240043114
357	4.235177286
358	4.233883439
359	4.231648599
360	4.230793414
361	4.22887832
362	4.224961576
363	4.222564534
364	4.218992031
365	4.216422786
366	4.213590053
367	4.211896817
368	4.207429519
369	4.20245575
370	4.198847973
371	4.196464302
372	4.19485463
373	4.191578349
374	4.188443885
375	4.183084738
376	4.181260081
377	4.179195053
378	4.178245025
379	4.177865476
380	4.173764348
381	4.172267354
382	4.168361438
383	4.167689496
384	4.16348037
385	4.161296959
386	4.15981108
387	4.154869233
388	4.150996363
389	4.148100536
390	4.144716161
391	4.141802661
392	4.138785322
393	4.135676192
394	4.131935893
395	4.127339057
396	4.12062674
397	4.11872254
398	4.117255188
399	4.115394999
400	4.110292535
401	4.107386041
402	4.105670768
403	4.101957663
404	4.098363036
405	4.096047088
406	4.094343449
407	4.089231976
408	4.08488807
409	4.07985981
410	4.077731355
411	4.073570428
412	4.073489159
413	4.068827098
414	4.066999333
415	4.06426037
416	4.062902974
417	4.060471418
418	4.057422052
419	4.056376819
420	4.053419085
421	4.050901982
422	4.047042054
423	4.043037544
424	4.039281364
425	4.035659366
426	4.034826248
427	4.031162181
428	4.026800639
429	4.025538166
430	4.022631849
431	4.019400332
432	4.014856115
433	4.011031495
434	4.007458749
435	4.004075986
436	4.00052387
437	3.999371427
438	3.995988572
439	3.994233456
440	3.991181377
441	3.988497883
442	3.984743122
443	3.98301137
444	3.979974821
445	3.975592306
446	3.972815633
447	3.971829884
448	3.969936373
449	3.96540322
450	3.959801182
451	3.956945028
452	3.955966769
453	3.950174676
454	3.948788341
455	3.944494525
456	3.942399577
457	3.93905738
458	3.935593971
459	3.933570053
460	3.930807557
461	3.929322585
462	3.928103857
463	3.92653266
464	3.923612124
465	3.91941325
466	3.918008795
467	3.914454858
468	3.910593205
469	3.906818756
470	3.90516587
471	3.904688036
472	3.903774203
473	3.901683842
474	3.899023706
475	3.897518039
476	3.893496691
477	3.891923296
478	3.888541435
479	3.884444672
480	3.883066914
